LinuxTime	Length2	Length4	Tension2	Tension4	ErrLength2	ErrLength4	LengthTot	DayTime
1686241005.752711	604.84	694.88	8.57	8.82	1.65	-2.51	1299.72	18:16:45.74
1686241006.757103	604.85	694.88	9.24	8.42	0.19	-1.59	1299.73	18:16:46.74
1686241008.1148014	604.85	694.88	9.51	8.55	-0.39	-1.89	1299.73	18:16:48.10
1686241009.1190994	604.84	694.88	8.57	8.82	1.65	-2.51	1299.72	18:16:49.10
1686241010.1234903	604.84	694.88	8.97	8.42	0.77	-1.59	1299.72	18:16:50.10
1686241012.3712862	604.85	694.89	9.24	9.09	0.19	-3.12	1299.74	18:16:52.35
1686241013.3766232	604.84	694.88	8.44	8.82	1.94	-2.51	1299.72	18:16:53.35
1686241014.6062942	604.85	694.89	9.37	9.09	-0.1	-3.12	1299.74	18:16:54.59
1686241015.6112573	604.84	694.89	8.84	9.36	1.07	-3.73	1299.73	18:16:55.59
1686241016.6170456	604.85	694.88	9.24	8.82	0.19	-2.51	1299.73	18:16:56.60
1686241018.8416975	604.85	694.87	9.37	7.89	-0.1	-0.36	1299.72	18:16:58.82
1686241019.8468955	604.85	694.86	9.11	7.75	0.48	-0.05	1299.71	18:16:59.82
1686241021.0781176	604.85	694.88	9.24	8.69	0.19	-2.2	1299.73	18:17:01.06
1686241022.0830905	604.84	694.88	8.71	8.69	1.36	-2.2	1299.72	18:17:02.07
1686241023.0880923	604.85	694.87	9.51	8.29	-0.39	-1.28	1299.72	18:17:03.07
1686241024.3227582	604.85	694.87	9.64	8.29	-0.69	-1.28	1299.72	18:17:04.31
1686241026.3310592	604.85	694.88	9.37	8.82	-0.1	-2.51	1299.73	18:17:06.31
1686241027.5585575	604.85	694.88	9.11	8.69	0.48	-2.2	1299.73	18:17:07.53
1686241028.5704074	604.86	694.88	9.78	8.82	-0.98	-2.51	1299.74	18:17:08.56
1686241031.8185885	604.84	694.88	8.31	8.42	2.23	-1.59	1299.72	18:17:11.80
1686241032.823436	604.84	694.88	8.57	8.82	1.65	-2.51	1299.72	18:17:12.80
1686241034.0434167	604.85	694.86	9.24	7.75	0.19	-0.05	1299.71	18:17:14.03
1686241035.0487163	604.85	694.88	9.11	8.69	0.48	-2.2	1299.73	18:17:15.03
1686241036.0533085	604.85	694.88	9.37	8.82	-0.1	-2.51	1299.73	18:17:16.03
1686241037.285039	604.85	694.88	9.24	8.55	0.19	-1.89	1299.73	18:17:17.27
1686241038.2904437	604.84	694.87	8.71	8.15	1.36	-0.97	1299.71	18:17:18.27
1686241041.5234678	604.84	694.88	8.44	8.42	1.94	-1.59	1299.72	18:17:21.50
1686241042.5356622	604.85	694.87	9.24	8.29	0.19	-1.28	1299.72	18:17:22.52
1686241043.7752903	604.85	694.87	9.51	8.15	-0.39	-0.97	1299.72	18:17:23.76
1686241044.7791593	604.85	694.87	9.11	8.29	0.48	-1.28	1299.72	18:17:24.76
1686241045.7835336	604.84	694.88	8.71	8.55	1.36	-1.89	1299.72	18:17:25.77
1686241047.0291424	604.85	694.88	9.24	8.82	0.19	-2.51	1299.73	18:17:27.01
1686241048.0339694	604.84	694.88	8.97	8.42	0.77	-1.59	1299.72	18:17:28.01
1686241049.0448797	604.85	694.88	9.37	8.55	-0.1	-1.89	1299.73	18:17:29.03
1686241050.2728443	604.84	694.88	8.44	8.96	1.94	-2.81	1299.72	18:17:30.25
