Time	FlowIn	Tout	Hout	Tamb	Hamb	Hin	CryoL	Ta	Tb	Tc	Td	I1	I3
1686129671.871845	-0.810	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.875	21.980	22.125	0.080	1.090
1686129672.8618238	-0.440	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.876	21.980	22.125	0.080	0.790
1686129673.8618102	-0.990	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	1.090
1686129674.8717492	0.110	22.800	41.400	22.800	44.100	-3.914	0.000	21.773	21.875	21.980	22.125	0.080	1.090
1686129675.871736	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.980	22.126	0.080	1.090
1686129676.861717	-0.810	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.125	0.080	0.580
1686129677.8616495	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.980	22.126	0.080	0.660
1686129678.871654	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.980	22.126	0.080	1.090
1686129679.871598	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	1.090
1686129680.8615634	-0.260	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	0.590
1686129681.8715615	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.125	0.080	0.600
1686129682.8615031	-1.350	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	1.090
1686129683.8714807	-1.350	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.125	0.080	1.090
1686129684.8714392	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.874	21.980	22.126	0.080	1.090
1686129685.8714244	-0.620	22.800	41.400	22.800	44.100	-4.294	40.582	21.773	21.875	21.980	22.125	0.080	1.090
1686129686.8614037	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	1.090
1686129687.8613598	-0.990	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.125	0.080	0.090
1686129688.8613238	0.110	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.876	21.980	22.125	0.080	0.090
1686129689.861312	-0.620	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.980	22.125	0.080	0.090
1686129690.8612561	-0.440	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.876	21.981	22.125	0.080	0.090
1686129691.8612177	-0.810	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.125	0.080	0.090
1686129692.861193	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.980	22.125	0.080	0.090
1686129693.863113	-0.070	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.875	21.980	22.126	0.080	0.090
1686129694.8630905	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.980	22.126	0.080	0.090
1686129695.86308	-0.070	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.125	0.080	0.090
1686129696.8630497	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.125	0.080	0.090
1686129697.8630056	-1.350	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.981	22.126	0.080	0.090
1686129698.862969	-1.900	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.980	22.126	0.080	0.090
1686129699.8629308	-1.350	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.875	21.980	22.126	0.080	0.090
1686129700.8629084	-1.170	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.876	21.980	22.126	0.080	0.090
1686129701.86288	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.876	21.980	22.126	0.080	0.090
1686129702.8728616	0.110	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.876	21.980	22.126	0.080	0.090
1686129703.8628318	-0.620	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.876	21.980	22.126	0.080	0.080
1686129704.8627698	-0.070	22.800	41.400	22.800	44.100	-3.914	0.000	21.772	21.876	21.981	22.126	0.080	0.080
1686129705.8627474	-0.440	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.876	21.980	22.125	0.080	0.080
1686129706.8627017	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.982	22.125	0.080	0.080
1686129707.872707	-0.440	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.876	21.981	22.126	0.080	0.080
1686129708.8626502	-0.990	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.876	21.981	22.126	0.080	0.080
1686129709.862646	0.110	22.800	41.400	22.800	44.100	-3.914	0.000	21.772	21.875	21.980	22.125	0.080	0.080
1686129710.8626137	-0.810	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.979	22.125	0.080	0.080
1686129711.8625822	-1.350	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.980	22.126	0.080	0.080
1686129712.862551	-0.990	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.981	22.126	0.080	0.080
1686129713.86252	-1.170	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.980	22.126	0.080	0.080
1686129714.8624892	-0.260	22.800	41.400	22.800	44.100	-3.914	0.000	21.773	21.875	21.980	22.126	0.080	0.080
1686129715.862458	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.126	0.080	0.080
1686129716.8623936	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.981	22.126	0.080	0.080
1686129717.8623626	-0.990	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.127	0.080	0.080
1686129718.8623278	-0.440	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.126	0.080	1.210
1686129719.8623002	-0.260	22.900	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	1.590
1686129721.8722332	-0.440	22.900	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.126	0.080	1.600
1686129722.8622036	0.290	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	1.590
1686129723.8621743	-0.070	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	1.600
1686129724.862143	-0.070	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.874	21.980	22.126	0.080	0.080
1686129725.8621092	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.126	0.080	0.910
1686129726.862081	-0.810	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.980	22.126	0.080	1.510
1686129727.8620498	-0.990	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	0.410
1686129728.862019	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.980	22.126	0.080	0.080
1686129729.8619847	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.874	21.981	22.126	0.080	0.080
1686129730.8619561	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.874	21.979	22.127	0.080	0.080
1686129731.8619256	-0.810	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.980	22.126	0.080	1.390
1686129732.861896	-0.810	22.900	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.125	0.080	1.160
1686129733.8718667	-0.440	22.900	41.400	22.800	44.100	-4.104	0.000	21.773	21.875	21.981	22.126	0.080	0.080
1686129734.8718379	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.980	22.126	0.080	0.080
1686129735.8618011	-0.070	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.874	21.980	22.126	0.080	0.080
1686129736.8617816	-0.620	22.800	41.400	22.800	44.100	-3.723	0.000	21.772	21.875	21.980	22.126	0.080	1.140
1686129737.8717735	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.980	22.125	0.080	1.130
1686129738.8617406	-0.260	22.800	41.400	22.800	44.100	-4.104	0.000	21.773	21.875	21.981	22.126	0.080	1.160
1686129739.8617103	-0.810	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.981	22.126	0.080	0.080
1686129740.8616476	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.874	21.981	22.126	0.080	0.080
1686129741.8716474	-1.540	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	0.080
1686129742.8616168	-1.350	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.981	22.126	0.080	1.090
1686129743.861557	-1.170	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.980	22.126	0.080	0.580
1686129744.861555	-2.090	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	0.740
1686129745.861506	-0.440	22.800	41.400	22.800	44.100	-4.864	0.000	21.772	21.874	21.980	22.127	0.080	0.580
1686129746.8614924	-1.350	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.874	21.981	22.126	0.080	1.090
1686129747.8614604	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.874	21.980	22.127	0.080	0.870
1686129748.861429	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.874	21.981	22.126	0.080	0.580
1686129749.8613987	-0.070	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.127	0.080	0.600
1686129750.8613677	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.126	0.080	0.600
1686129751.8613367	0.110	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.981	22.127	0.080	0.600
1686129752.861275	-0.070	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.981	22.127	0.080	0.600
1686129753.86124	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.874	21.981	22.126	0.080	0.600
1686129754.8612232	-0.260	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	0.080
1686129755.8612106	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	0.080
1686129756.8711815	-0.990	22.800	41.400	22.800	44.100	-4.294	0.000	21.771	21.875	21.981	22.127	0.080	0.600
1686129757.8611498	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.876	21.980	22.127	0.080	1.090
1686129758.8611186	-1.350	22.800	41.400	22.800	44.200	-4.294	0.000	21.772	21.874	21.981	22.127	0.080	1.090
1686129759.8610687	-0.810	22.800	41.400	22.800	44.200	-4.294	0.000	21.773	21.875	21.980	22.126	0.080	0.610
1686129760.8610444	-1.720	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	0.630
1686129761.861007	-0.620	22.800	41.400	22.800	44.100	-4.484	0.000	21.773	21.875	21.981	22.127	0.080	0.810
1686129762.860977	-1.350	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.876	21.980	22.126	0.080	1.020
1686129763.8609352	-0.260	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.876	21.980	22.126	0.080	0.580
1686129764.8609042	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	0.580
1686129765.860868	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	1.070
1686129766.860847	-0.260	22.800	41.400	22.800	44.100	-4.674	0.000	21.772	21.876	21.981	22.126	0.080	0.580
1686129767.8608234	-0.810	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.127	0.080	0.830
1686129768.860803	-0.260	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.127	0.080	0.580
1686129769.870754	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.773	21.875	21.981	22.127	0.080	1.030
1686129770.860723	-0.070	22.800	41.400	22.800	44.100	-4.294	0.000	21.771	21.875	21.980	22.126	0.080	0.740
1686129771.8606987	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.876	21.979	22.127	0.080	1.050
1686129772.8606508	0.290	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.980	22.127	0.080	0.600
1686129773.8606508	-1.170	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.980	22.126	0.080	1.090
1686129774.860607	-1.540	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.876	21.980	22.127	0.080	0.790
1686129775.870581	-1.170	22.800	41.400	22.800	44.100	-4.674	0.000	21.771	21.876	21.981	22.126	0.080	0.890
1686129776.8605583	-1.170	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.876	21.980	22.127	0.080	1.090
1686129777.8705277	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.127	0.080	0.640
1686129778.8604822	-0.810	22.800	41.400	22.800	44.100	-4.104	0.000	21.771	21.875	21.981	22.127	0.080	1.090
1686129779.8604438	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.126	0.080	0.960
1686129780.8604214	-1.170	22.900	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.126	0.080	1.020
1686129781.860387	-0.620	22.900	41.400	22.800	44.100	-4.674	0.000	21.772	21.875	21.981	22.127	0.080	1.090
1686129782.860348	-0.440	22.900	41.300	22.800	44.100	-4.294	0.000	21.772	21.875	21.980	22.127	0.080	0.900
1686129783.8603213	-0.070	22.900	41.300	22.800	44.100	-4.294	0.000	21.772	21.876	21.981	22.126	0.080	0.880
1686129784.8602748	-0.260	22.900	41.300	22.800	44.100	-4.294	0.000	21.772	21.876	21.981	22.127	0.080	0.960
1686129786.8602247	-0.260	22.900	41.300	22.800	44.100	-4.294	0.000	21.772	21.876	21.981	22.127	0.080	0.940
1686129787.8602166	-0.070	22.800	41.400	22.800	44.100	-4.104	0.000	21.772	21.875	21.981	22.126	0.080	0.960
1686129788.8701854	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.981	22.126	0.080	1.370
1686129789.8601532	-0.620	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.127	0.080	1.430
1686129790.860096	-0.990	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.982	22.127	0.080	1.080
1686129792.8600273	-0.810	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.127	0.080	1.230
1686129793.870013	-2.090	22.800	41.400	22.800	44.100	-4.674	0.000	21.772	21.875	21.980	22.127	0.080	1.560
1686129794.8699648	-0.620	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.981	22.127	0.080	1.570
1686129795.8599405	-1.720	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.982	22.127	0.080	1.580
1686129796.8699355	-0.990	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.981	22.127	0.080	1.010
1686129797.8599045	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	0.990
1686129798.8598459	-1.540	22.800	41.400	22.800	44.100	-4.294	0.000	21.771	21.875	21.982	22.127	0.080	1.560
1686129799.859842	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	1.580
1686129800.8598118	-0.990	22.800	41.400	22.800	44.200	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	1.580
1686129801.86978	-0.620	22.800	41.400	22.800	44.200	-4.484	0.000	21.772	21.876	21.982	22.127	0.080	1.090
1686129802.8697486	-0.440	22.900	41.400	22.800	44.200	-4.104	0.000	21.771	21.875	21.981	22.127	0.080	0.580
1686129803.8696935	-0.260	22.900	41.400	22.800	44.200	-4.484	0.000	21.772	21.876	21.982	22.127	0.080	0.960
1686129804.869686	-0.620	22.800	41.400	22.800	44.200	-4.294	0.000	21.772	21.875	21.982	22.127	0.080	1.330
1686129805.8696551	-0.620	22.800	41.400	22.800	44.200	-4.294	0.000	21.771	21.875	21.981	22.127	0.080	1.190
1686129806.8696244	-0.440	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.982	22.127	0.080	1.240
1686129807.869556	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.127	0.080	1.350
1686129808.8695617	-0.620	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	0.970
1686129809.879531	-0.260	22.800	41.400	22.800	44.100	-4.484	0.000	21.771	21.875	21.981	22.127	0.080	1.530
1686129810.8795006	-0.620	22.800	41.300	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.128	0.080	0.950
1686129811.8794665	-0.260	22.800	41.300	22.800	44.100	-4.294	0.000	21.771	21.875	21.981	22.128	0.080	0.770
1686129812.8794372	-0.260	22.900	41.300	22.800	44.100	-4.674	0.000	21.772	21.875	21.981	22.128	0.080	0.780
1686129813.879407	-0.990	22.900	41.300	22.800	44.100	-4.484	0.000	21.772	21.875	21.982	22.126	0.080	1.090
1686129814.8893743	-0.260	22.900	41.300	22.800	44.100	-4.674	0.000	21.772	21.875	21.981	22.127	0.080	0.590
1686129815.889343	-1.540	22.900	41.300	22.800	44.100	-4.484	0.000	21.772	21.876	21.981	22.127	0.080	0.630
1686129816.8793125	-1.350	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.981	22.127	0.080	1.090
1686129817.8792462	-1.720	22.800	41.400	22.800	44.100	-4.294	0.000	21.772	21.875	21.982	22.127	0.080	1.090
1686129818.8792274	-1.900	22.900	41.400	22.800	44.100	-4.484	0.000	21.772	21.875	21.981	22.127	0.080	0.580
