Time	FlowIn	Tout	Hout	Tamb	Hamb	Hin	CryoL	Ta	Tb	Tc	Td	I1	I3
1686135355.8288198	-0.990	23.900	40.200	23.800	42.900	-6.385	0.000	21.784	21.925	22.081	22.339	0.080	0.010
1686135356.8287895	-0.620	23.900	40.200	23.800	42.900	-6.385	0.000	21.784	21.925	22.081	22.339	0.080	0.010
1686135357.8287907	-0.990	24.000	40.100	23.900	42.900	-6.575	0.000	21.784	21.924	22.081	22.340	0.080	0.010
1686135358.828761	-0.440	24.000	40.100	23.900	42.900	-6.385	0.000	21.784	21.925	22.082	22.339	0.080	0.000
1686135359.828694	-0.990	23.900	40.200	23.800	42.900	-6.385	0.000	21.784	21.925	22.082	22.340	0.080	0.000
1686135360.8386643	0.110	23.900	40.200	23.800	42.900	-6.385	0.000	21.784	21.925	22.081	22.339	0.080	0.010
1686135361.8286664	-0.260	24.000	40.100	23.800	42.900	-6.575	0.000	21.784	21.925	22.081	22.339	0.080	0.010
1686135362.8286355	-0.070	24.000	40.100	23.800	42.900	-6.385	0.000	21.783	21.925	22.081	22.340	0.080	0.010
1686135363.838605	-0.260	23.900	40.200	23.800	43.000	-6.765	0.000	21.784	21.925	22.081	22.339	0.080	0.000
1686135364.8285735	-0.810	23.900	40.200	23.800	43.000	-6.385	0.000	21.784	21.926	22.082	22.339	0.080	0.000
1686135365.83854	-0.440	23.900	40.100	23.800	42.900	-6.385	0.000	21.785	21.925	22.082	22.339	0.080	0.000
1686135366.838512	0.480	23.900	40.100	23.800	42.900	-6.575	0.000	21.785	21.925	22.081	22.339	0.080	0.010
1686135367.838481	-0.260	23.900	40.200	23.800	43.000	-6.765	0.000	21.784	21.926	22.081	22.340	0.080	0.010
1686135368.838447	-0.440	23.900	40.200	23.800	43.000	-6.575	0.000	21.783	21.925	22.082	22.340	0.080	0.000
1686135369.8384182	-0.620	23.900	40.100	23.800	42.900	-6.575	0.000	21.784	21.925	22.082	22.340	0.080	0.000
1686135370.838357	-1.170	23.900	40.100	23.800	42.900	-6.385	0.000	21.785	21.925	22.081	22.339	0.080	0.000
1686135371.8383555	-0.440	24.000	40.200	23.800	43.000	-6.385	0.000	21.784	21.925	22.082	22.340	0.080	0.010
1686135372.848323	-1.540	24.000	40.200	23.800	43.000	-6.575	0.000	21.785	21.925	22.082	22.340	0.080	0.010
1686135373.8482933	-0.260	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.926	22.081	22.340	0.080	0.010
1686135374.848262	-1.350	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.925	22.082	22.339	0.080	0.000
1686135375.8482304	-0.440	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.926	22.082	22.341	0.080	0.010
1686135376.8482	-1.350	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.925	22.082	22.340	0.080	0.010
1686135377.8481529	-0.620	24.000	40.100	23.800	43.000	-6.575	0.000	21.785	21.925	22.082	22.340	0.080	0.010
1686135378.8481371	-1.350	24.000	40.100	23.800	43.000	-6.385	0.000	21.784	21.925	22.082	22.340	0.080	0.000
1686135379.848106	-0.990	23.900	40.100	23.800	43.000	-6.385	0.000	21.784	21.926	22.081	22.339	0.080	0.000
1686135380.8780506	-1.170	23.900	40.100	23.800	43.000	-6.575	0.000	21.784	21.925	22.082	22.339	0.080	0.010
1686135381.8480177	-0.620	23.900	40.100	23.800	43.000	-6.575	0.000	21.785	21.925	22.082	22.340	0.080	0.010
1686135382.8480134	-0.990	23.900	40.100	23.800	43.000	-6.385	0.000	21.785	21.925	22.082	22.338	0.080	0.010
1686135383.847949	-1.540	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.926	22.083	22.340	0.080	0.000
1686135384.8479302	-1.350	24.000	40.100	23.800	42.900	-6.575	0.000	21.784	21.926	22.083	22.340	0.080	0.000
1686135385.847919	-1.350	23.900	40.100	23.800	43.000	-6.385	0.000	21.785	21.926	22.082	22.339	0.080	0.010
1686135386.8478875	-1.170	23.900	40.100	23.800	43.000	-6.385	0.000	21.784	21.926	22.083	22.340	0.080	0.010
1686135387.8578572	-1.350	23.900	40.100	23.800	42.900	-6.385	0.000	21.785	21.925	22.082	22.339	0.080	0.010
1686135388.8578248	-1.350	23.900	40.100	23.800	42.900	-6.575	0.000	21.784	21.925	22.082	22.339	0.080	0.000
1686135389.8477695	-1.540	24.000	40.100	23.900	42.900	-6.575	0.000	21.784	21.925	22.082	22.339	0.080	0.000
1686135390.8477626	-0.990	24.000	40.100	23.900	42.900	-6.385	0.000	21.785	21.925	22.081	22.339	0.080	0.000
1686135391.8577125	-1.170	24.000	40.100	23.800	42.900	-6.575	0.000	21.784	21.925	22.082	22.340	0.080	0.010
1686135392.84768	-0.990	24.000	40.100	23.800	42.900	-6.765	0.000	21.784	21.925	22.082	22.340	0.080	0.010
1686135393.8576498	-0.990	24.000	40.100	23.800	43.000	-6.575	0.000	21.784	21.926	22.082	22.340	0.080	0.000
1686135394.8576405	-0.440	24.000	40.100	23.800	43.000	-6.765	0.000	21.784	21.926	22.083	22.341	0.080	0.000
1686135395.8476074	-0.620	24.000	40.200	23.800	42.900	-6.195	0.000	21.785	21.926	22.083	22.340	0.080	0.000
1686135396.8475761	-0.440	24.000	40.200	23.800	42.900	-6.765	0.000	21.785	21.926	22.083	22.340	0.080	0.010
1686135397.8586037	-0.990	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.925	22.082	22.340	0.080	0.010
1686135398.8584664	-0.440	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.926	22.082	22.340	0.080	0.010
1686135399.848436	-0.260	23.900	40.100	23.800	42.900	-6.195	0.000	21.784	21.926	22.083	22.340	0.070	0.000
1686135400.858404	-0.620	23.900	40.100	23.800	42.900	-6.575	0.000	21.784	21.926	22.083	22.340	0.080	0.010
1686135401.8483498	-0.440	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.926	22.083	22.341	0.080	0.010
1686135402.8483045	-0.990	24.000	40.100	23.800	42.900	-6.765	0.000	21.784	21.925	22.083	22.340	0.080	0.010
1686135403.8482747	-0.260	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.926	22.083	22.340	0.080	0.010
1686135404.8482459	-0.810	24.000	40.100	23.800	42.900	-6.765	0.000	21.784	21.926	22.082	22.341	0.080	0.000
1686135405.8582144	-0.620	24.000	40.100	23.900	42.900	-6.575	0.000	21.784	21.925	22.082	22.341	0.080	0.010
1686135406.8581796	-1.170	24.000	40.100	23.900	42.900	-6.765	0.000	21.784	21.926	22.084	22.341	0.080	0.000
1686135407.84815	-0.810	24.000	40.100	23.800	42.900	-6.765	0.000	21.785	21.926	22.084	22.341	0.080	0.010
1686135408.858117	-0.620	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.925	22.083	22.341	0.080	0.010
1686135409.84809	-0.990	24.000	40.200	23.800	42.900	-6.575	0.000	21.784	21.927	22.083	22.341	0.080	0.000
1686135410.8480582	-1.350	24.000	40.200	23.800	42.900	-6.575	0.000	21.785	21.926	22.083	22.341	0.080	0.000
1686135411.8580282	-0.990	24.000	40.100	23.800	43.000	-6.765	0.000	21.784	21.926	22.083	22.340	0.080	0.000
1686135412.8479977	-1.720	24.000	40.100	23.800	43.000	-6.575	0.000	21.785	21.927	22.083	22.340	0.080	0.010
1686135413.8479624	-1.170	24.000	40.100	23.900	42.900	-6.575	0.000	21.784	21.926	22.083	22.340	0.080	0.000
1686135414.8479314	-1.720	24.000	40.100	23.900	42.900	-6.575	0.000	21.784	21.926	22.083	22.340	0.080	0.010
1686135415.8479035	-0.810	24.000	40.100	23.800	42.900	-6.385	0.000	21.786	21.926	22.083	22.341	0.080	0.000
1686135416.8478744	-1.350	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.926	22.084	22.341	0.080	0.010
1686135417.8478413	-2.090	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.927	22.083	22.341	0.080	0.010
1686135418.8578439	-0.810	24.000	40.100	23.800	42.900	-6.765	0.000	21.784	21.926	22.084	22.341	0.080	0.000
1686135419.847813	-0.990	24.000	40.100	23.800	42.900	-6.385	0.000	21.784	21.926	22.083	22.341	0.080	0.010
1686135420.8577812	-1.350	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.926	22.083	22.341	0.080	0.000
1686135421.847749	-0.990	24.000	40.100	23.900	42.900	-6.385	0.000	21.785	21.926	22.083	22.341	0.080	0.010
1686135422.8477192	0.110	24.000	40.100	23.900	42.900	-6.765	0.000	21.785	21.926	22.084	22.340	0.080	0.010
1686135423.8576887	-0.440	23.900	40.100	23.800	42.900	-6.385	0.000	21.785	21.926	22.083	22.341	0.080	0.010
1686135424.8476565	-0.440	23.900	40.100	23.800	42.900	-6.385	0.000	21.785	21.927	22.083	22.341	0.080	0.010
1686135425.857626	0.480	24.000	40.100	23.900	42.900	-6.575	0.000	21.785	21.927	22.084	22.341	0.080	0.010
1686135426.8475943	-0.070	24.000	40.100	23.900	42.900	-6.385	0.000	21.784	21.926	22.084	22.342	0.080	0.000
1686135427.847562	0.290	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.926	22.083	22.341	0.080	0.000
1686135428.8475337	-0.620	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.927	22.083	22.341	0.060	0.010
1686135429.8475006	-0.260	24.000	40.100	23.900	42.900	-6.385	0.000	21.785	21.926	22.084	22.341	0.080	0.010
1686135430.8574462	-0.440	24.000	40.100	23.900	42.900	-6.575	0.000	21.785	21.927	22.083	22.341	0.080	0.010
1686135431.8474388	-0.070	24.000	40.100	23.900	42.900	-6.195	0.000	21.785	21.927	22.083	22.341	0.080	0.010
1686135432.8473792	-0.990	24.000	40.100	23.900	42.900	-6.385	0.000	21.785	21.926	22.083	22.342	0.080	0.000
1686135433.847376	-0.070	24.000	40.100	23.900	42.900	-6.575	0.000	21.785	21.927	22.084	22.341	0.080	0.010
1686135434.847345	-1.170	24.000	40.100	23.900	42.900	-6.765	0.000	21.785	21.927	22.084	22.341	0.080	0.010
1686135435.847314	-0.810	24.000	40.100	23.900	42.900	-6.575	0.000	21.785	21.926	22.084	22.341	0.080	0.010
1686135436.8472826	-0.990	24.000	40.100	23.900	42.900	-6.765	0.000	21.784	21.926	22.084	22.341	0.080	0.010
1686135437.8572516	-0.620	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.926	22.084	22.341	0.080	0.000
1686135438.8472204	-0.810	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.927	22.083	22.342	0.080	0.000
1686135439.84719	-0.990	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.927	22.084	22.342	0.080	0.000
1686135440.8471334	-1.170	24.000	40.100	23.800	42.900	-6.575	0.000	21.786	21.927	22.084	22.341	0.080	0.010
1686135441.857128	-1.540	23.900	40.100	23.900	42.900	-6.765	0.000	21.786	21.926	22.084	22.340	0.080	0.010
1686135442.8470967	-0.620	23.900	40.100	23.900	42.900	-6.575	0.000	21.786	21.927	22.084	22.342	0.080	0.000
1686135443.8470647	-1.170	24.000	40.100	23.900	42.800	-6.385	0.000	21.785	21.927	22.084	22.341	0.080	0.000
1686135444.8470345	0.110	24.000	40.100	23.900	42.800	-6.385	0.000	21.785	21.926	22.084	22.341	0.080	0.000
1686135445.8470025	-1.170	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.926	22.083	22.342	0.080	0.010
1686135446.846971	-0.990	24.000	40.100	23.800	42.900	-6.765	0.000	21.786	21.927	22.084	22.343	0.080	0.000
1686135447.8569424	-1.540	24.000	40.100	23.800	42.900	-6.385	0.000	21.785	21.927	22.084	22.342	0.080	0.010
1686135448.8469105	-0.810	24.000	40.100	23.800	42.900	-6.195	0.000	21.785	21.927	22.084	22.342	0.080	0.000
1686135449.8468795	-1.900	24.000	40.100	23.800	42.900	-6.765	0.000	21.785	21.926	22.084	22.343	0.080	0.010
1686135450.8468425	-0.070	24.000	40.100	23.800	42.900	-6.575	0.000	21.785	21.927	22.084	22.342	0.080	0.010
1686135451.8568149	-1.350	24.000	40.100	23.900	42.900	-6.575	0.000	21.785	21.927	22.084	22.342	0.080	0.010
1686135452.8467863	-0.810	24.000	40.100	23.900	42.900	-6.765	0.000	21.785	21.927	22.084	22.342	0.080	0.000
1686135453.8467553	-1.350	23.900	40.100	23.900	42.900	-6.575	0.000	21.785	21.927	22.084	22.342	0.080	0.000
1686135454.8467221	-0.810	23.900	40.100	23.900	42.900	-6.385	0.000	21.785	21.927	22.084	22.342	0.080	0.010
1686135455.8566906	-0.990	24.000	40.100	23.900	42.800	-6.385	0.000	21.785	21.927	22.085	22.342	0.080	0.010
1686135456.8466609	-0.440	24.000	40.100	23.900	42.800	-6.765	0.000	21.785	21.927	22.085	22.342	0.080	0.010
1686135457.8566294	-0.990	24.000	40.100	23.900	42.800	-6.385	0.000	21.785	21.927	22.085	22.342	0.080	0.000
1686135458.8465786	-0.070	24.000	40.100	23.900	42.800	-6.575	0.000	21.785	21.927	22.084	22.342	0.080	0.000
1686135459.8465636	-0.440	24.000	40.100	23.900	42.900	-6.575	0.000	21.786	21.927	22.084	22.342	0.080	0.000
